Date,Open,High,Low,Close
26-Dec-12,5864.95,5917.3,5859.55,5905.6
27-Dec-12,5930.2,5930.8,5864.7,5870.1
28-Dec-12,5887.15,5915.75,5879.5,5908.3
31-Dec-12,5901.2,5919,5897.15,5905.1
01-Jan-13,5937.65,5963.9,5935.2,5950.8
02-Jan-13,5982.6,6006.05,5982,5993.2
03-Jan-13,6015.8,6017,5986.55,6009.5
04-Jan-13,6011.95,6020.75,5981.55,6016.1
07-Jan-13,6042.15,6042.15,5977.15,5988.4
08-Jan-13,5983.45,6007.05,5964.4,6001.7
09-Jan-13,6006.2,6020.1,5958.45,5971.5
10-Jan-13,5998.8,6005.15,5947.3,5968.6
11-Jan-13,6012.4,6018.85,5940.6,5951.3
14-Jan-13,5967.2,6036.9,5962.15,6024
15-Jan-13,6037.85,6068.5,6018.6,6056.6
16-Jan-13,6049,6055.95,5992.05,6001.8
17-Jan-13,6001.25,6053.2,5988.1,6039.2
18-Jan-13,6059.85,6083.4,6048.3,6064.4
21-Jan-13,6085.75,6094.35,6065.1,6082.3
22-Jan-13,6080.15,6101.3,6040.5,6048.5
23-Jan-13,6052.85,6069.8,6021.15,6054.3
24-Jan-13,6046.2,6065.3,6007.85,6019.3
25-Jan-13,6024.5,6080.55,6014.45,6074.6
28-Jan-13,6082.1,6088.4,6061.4,6074.8
29-Jan-13,6064.7,6111.8,6042.45,6049.9
30-Jan-13,6065,6071.95,6044.15,6055.7
31-Jan-13,6045.65,6058.05,6025.15,6034.7
01-Feb-13,6040.95,6052.95,5983.2,5998.9
04-Feb-13,6025.2,6038.5,5981.25,5987.2
05-Feb-13,5948.2,5970.35,5946.9,5956.9
06-Feb-13,5988.05,5990.9,5953.15,5959.2
07-Feb-13,5936.45,5978.5,5927.6,5938.8
08-Feb-13,5929.1,5953.7,5883.65,5903.5
11-Feb-13,5920.05,5924.15,5879.1,5897.8
12-Feb-13,5894.35,5927.65,5886.45,5922.5
13-Feb-13,5943.15,5969.5,5922.95,5932.9
14-Feb-13,5933.2,5940.2,5884.55,5896.9
15-Feb-13,5869.95,5899.95,5853.9,5887.4
18-Feb-13,5888.65,5911,5878.45,5898.2
19-Feb-13,5900.2,5947.55,5883.15,5939.7
20-Feb-13,5966.3,5971,5937.55,5943
21-Feb-13,5909.65,5921.15,5844.4,5852.2
22-Feb-13,5837.95,5873.8,5835.8,5850.3
25-Feb-13,5870.55,5878.4,5825,5854.7
26-Feb-13,5838.3,5838.85,5748.6,5761.3
27-Feb-13,5784.9,5818.2,5749.7,5796.9
28-Feb-13,5834.35,5849.9,5671.9,5693
01-Mar-13,5702.45,5739.45,5679.9,5719.7
04-Mar-13,5704.7,5712,5663.6,5698.5
05-Mar-13,5722.45,5790.1,5722.4,5784.2
06-Mar-13,5816.4,5828.7,5795.05,5818.6
07-Mar-13,5801.3,5878,5801.3,5863.3
08-Mar-13,5883.65,5952.85,5883,5945.7
11-Mar-13,5946.1,5971.2,5930.35,5942.3
